inn,setid,title,published,route,lyophilized,presentation_index,source_text,fill_volume_ml,protein_conc_mg_ml,lysine_mm,surfactant,surfactant_pct_wv,trehalose_mm,trehalose_pct_wv,n_ingredients_parsed,buffer_species,buffer_conc_mm,ph,ph_is_range,ph_from_composition,nacl_mm,label_mw_kda,glycine_mm,mannitol_mm,mannitol_pct_wv,sucrose_mm,sucrose_pct_wv,methionine_mm,sorbitol_mm,sorbitol_pct_wv,arginine_mm,proline_mm,usable
anifrolumab,d6203302-2128-41a7-b0b4-0e6c0704d4dc,"SAPHNELO (ANIFROLUMAB-FNIA) INJECTION, SOLUTION [ASTRAZENECA PHARMACEUTICALS LP]","May 13, 2026",subcutaneous,False,0.0,"Each 2 mL single-dose vial contains 300 mg (150 mg/mL) of anifrolumab-fnia, L-histidine (3 mg), L-histidine hydrochloride monohydrate (6 mg), L-lysine hydrochloride (18 mg), polysorbate 80 (1 mg), trehalose dihydrate (98 mg), and Water for Injection, USP.",2.0,150.0,49.27,polysorbate 80,0.05,129.52,4.9,4.0,histidine,14.31,,,,,,,,,,,,,,,,False
anifrolumab,d6203302-2128-41a7-b0b4-0e6c0704d4dc,"SAPHNELO (ANIFROLUMAB-FNIA) INJECTION, SOLUTION [ASTRAZENECA PHARMACEUTICALS LP]","May 13, 2026",subcutaneous,False,1.0,"Each 0.8 mL single-dose prefilled syringe or autoinjector delivers 120 mg of anifrolumab-fnia, histidine (1 mg), L-histidine hydrochloride monohydrate (3 mg), lysine hydrochloride (7 mg), polysorbate 80 (0.4 mg), trehalose (36 mg), and Water for Injection, USP.",0.8,,47.91,polysorbate 80,0.05,131.46,4.5,4.0,histidine,17.89,,,,,,,,,,,,,,,,False
alemtuzumab,4f5f7255-7abc-4328-bd1a-ceaf139ef3e0,CAMPATH (ALEMTUZUMAB) INJECTION [GENZYME CORPORATION],"Nov 19, 2025",intravenous,False,0.0,"Each single-dose vial of CAMPATH contains 30 mg alemtuzumab, 8.0 mg sodium chloride, 1.44 mg dibasic sodium phosphate, 0.2 mg potassium chloride, 0.2 mg monobasic potassium phosphate, 0.1 mg polysorbate 80, and 0.0187 mg disodium edetate dihydrate.",,,,,,,,0.0,,,7.1,True,False,,,,,,,,,,,,,False
alemtuzumab,6236b0bc-82e9-4447-9a78-f57d94770269,"LEMTRADA (ALEMTUZUMAB) INJECTION, SOLUTION, CONCENTRATE [GENZYME CORPORATION]","Nov 19, 2025",intravenous,False,0.0,"Each 1 mL of solution contains 10 mg alemtuzumab, dibasic sodium phosphate (1.15 mg), disodium edetate dihydrate (0.0187 mg), polysorbate 80 (0.1 mg), potassium chloride (0.2 mg), potassium dihydrogen phosphate (0.2 mg), sodium chloride (8 mg), and Water for Injection, USP.",1.0,,,polysorbate 80,0.01,,,5.0,,,7.2,False,False,136.89,,,,,,,,,,,,False
alirocumab,446f6b5c-0dd4-44ff-9bc2-c2b41f2806b4,"PRALUENT (ALIROCUMAB) INJECTION, SOLUTION [SANOFI-AVENTIS U.S. LLC]","Jul 24, 2026",subcutaneous,False,0.0,"Each 75 mg/mL pre-filled pen contains 75 mg alirocumab, histidine (8 mM), polysorbate 20 (0.1 mg), sucrose (100 mg), and Water for Injection USP, to pH 6.0.",,75.0,,,,,,0.0,,,6.0,False,True,,146.0,,,,,,,,,,,False
alirocumab,446f6b5c-0dd4-44ff-9bc2-c2b41f2806b4,"PRALUENT (ALIROCUMAB) INJECTION, SOLUTION [SANOFI-AVENTIS U.S. LLC]","Jul 24, 2026",subcutaneous,False,1.0,"Each 150 mg/mL pre-filled pen contains 150 mg alirocumab, histidine (6 mM), polysorbate 20 (0.1 mg), sucrose (100 mg), and Water for Injection USP, to pH 6.0.",,150.0,,,,,,0.0,,,6.0,False,True,,146.0,,,,,,,,,,,False
alirocumab,7bcfbac2-e8ac-4569-8edc-bcde3b1fd172,"PRALUENT (ALIROCUMAB) INJECTION, SOLUTION [REGENERON PHARMACEUTICALS, INC.]","Jul 24, 2026",subcutaneous,False,0.0,"Each 75 mg/mL pre-filled pen contains 75 mg alirocumab, histidine (8 mM), polysorbate 20 (0.1 mg), sucrose (100 mg), and Water for Injection USP, to pH 6.0.",,75.0,,,,,,0.0,,,6.0,False,True,,146.0,,,,,,,,,,,False
alirocumab,7bcfbac2-e8ac-4569-8edc-bcde3b1fd172,"PRALUENT (ALIROCUMAB) INJECTION, SOLUTION [REGENERON PHARMACEUTICALS, INC.]","Jul 24, 2026",subcutaneous,False,1.0,"Each 150 mg/mL pre-filled pen contains 150 mg alirocumab, histidine (6 mM), polysorbate 20 (0.1 mg), sucrose (100 mg), and Water for Injection USP, to pH 6.0.",,150.0,,,,,,0.0,,,6.0,False,True,,146.0,,,,,,,,,,,False
ansuvimab,de220c8f-ffcb-4522-a6a2-c7d6ce5de1b5,"EBANGA (ANSUVIMAB) INJECTION, POWDER, LYOPHILIZED, FOR SOLUTION [EMERGENT BIODEFENSE OPERATIONS LANSING LLC]","Aug 17, 2026",,True,0.0,"Each single-dose vial delivers 400 mg of ansuvimab-zykl, and L-histidine (12.4 mg), L-histidine HCl (16.8 mg), polysorbate 80 (1.6 mg), and sucrose (657 mg).",,,,,,,,0.0,,,6.0,False,False,,147.0,,,,,,,,,,,False
ansuvimab,9c008384-379d-48d3-b5a5-9809ed0f655c,"EBANGA (ANSUVIMAB) KIT [RIDGEBACK BIOTHERAPEUTICS, LP]","Feb 12, 2025",,True,0.0,"Each single-dose vial delivers 400 mg of ansuvimab-zykl, and L-histidine (12.4 mg), L-histidine HCl (16.8 mg), polysorbate 80 (1.6 mg), and sucrose (657 mg).",,,,,,,,0.0,,,6.0,False,False,,147.0,,,,,,,,,,,False
amivantamab,1466c070-9f97-4fa4-a955-6a6b59981fb8,"RYBREVANT (AMIVANTAMAB-VMJW) INJECTION [JANSSEN BIOTECH, INC.]","Jul 13, 2026",intravenous,False,0.0,"Each RYBREVANT vial contains 350 mg (50 mg/mL) amivantamab-vmjw, EDTA disodium salt dihydrate (0.14 mg), L-histidine (2.3 mg), L-histidine hydrochloride monohydrate (8.6 mg), L-methionine (7 mg), polysorbate 80 (4.2 mg), sucrose (595 mg), and water for injection, USP.",,50.0,,,,,,0.0,,,,,,,148.0,,,,,,,,,,,False
